word,class,level,definition,synonyms
appropriate,adjective,b2,"suitable, acceptable or correct for the particular circumstances",[]
appropriately,adverb,b2,"in a way that is suitable, acceptable or correct for the particular circumstances",[]
approval,noun,b2,the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something,[]
approve,verb,b2,"to think that somebody/something is good, acceptable or suitable","[""accept"",""go along with somebody/​something"",""consent""]"
approximately,adverb,b1,"used to show that something is almost, but not completely, accurate or correct",[]
April,noun,a1,"the fourth month of the year, between March and May",[]
arbitrary,adjective,c1,"not seeming to be based on a reason, system or plan and sometimes seeming unfair",[]
architect,noun,a2,a person whose job is designing buildings,[]
architectural,adjective,c1,relating to architecture and buildings,[]
architecture,noun,a2,the art and study of designing buildings,[]
archive,noun,c1,"a collection of historical documents or records of a government, a family, a place or an organization; the place where these records are stored",[]
area,noun,a1,"part of a place, town, etc., or a region of a country or the world","[""site"",""position"",""point"",""location"",""scene"",""spot"",""venue""]"
arena,noun,c1,a place with a flat open area in the middle and seats around it where people can watch sports and entertainment,[]
arguably,adverb,c1,used (often before a comparative or superlative adjective) when you are stating an opinion that you believe you could give reasons to support,[]
argue,verb,a2,to speak angrily to somebody because you disagree with them,[]
argument,noun,a2,"a conversation or discussion in which two or more people disagree, often angrily",[]
arise,verb,b2,to happen; to start to exist,[]
arm,noun,a1,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,[]
arm,verb,c1,to provide weapons for yourself/somebody in order to fight a battle or a war,[]
armed,adjective,b2,involving the use of weapons,[]
arms,noun,b2,"weapons, especially as used by the army, navy, etc.",[]
army,noun,a2,a large organized group of soldiers who are trained to fight on land,[]
around,adverb,a1,approximately,[]
arrange,verb,a2,to plan or organize something in advance,[]
arrangement,noun,a2,a plan or preparation that you make so that something can happen,[]
array,noun,c1,"a group or collection of things or people, often one that is large or impressive",[]
arrest,noun,b1,the act of arresting somebody,[]
arrest,verb,b1,"if the police arrest somebody, the person is taken to a police station and kept there because the police believe they may be guilty of a crime",[]
arrival,noun,b1,an act of coming or being brought to a place,[]
arrive,verb,a1,"to get to a place, especially at the end of a journey",[]
arrow,noun,b2,"a thin stick with a sharp point at one end, which is shot from a bow",[]
art,noun,a1,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture",[]
article,noun,a1,"a piece of writing about a particular subject in a newspaper or magazine, on a website, etc.",[]
articulate,verb,c1,to express or explain your thoughts or feelings clearly in words,[]
artificial,adjective,b2,made or produced to copy something natural; not real,"[""synthetic"",""false"",""man-made"",""fake"",""imitation""]"
artist,noun,a1,"a person who creates works of art, especially paintings or drawings",[]
artistic,adjective,b2,connected with art or artists,[]
artwork,noun,b2,"pictures and photographs prepared for books, magazines, etc.",[]
as,adverb,a2,"used when you are comparing two people or things, or two situations",[]
as,conjunction,a2,while something else is happening,[]
ash,noun,c1,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt",[]
ashamed,adjective,b2,feeling shame or feeling embarrassed about somebody/something or because of something you have done,[]
aside,adverb,b2,to one side; out of the way,[]
ask,verb,a1,"to say or write something in the form of a question, in order to get information","[""enquire"",""demand""]"
asleep,adjective,a2,sleeping,[]
aspect,noun,b2,"a particular part or feature of a situation, an idea, a problem, etc.; a way in which it may be considered",[]
aspiration,noun,c1,a strong desire to have or do something,[]
aspire,verb,c1,to have a strong desire to achieve or to become something,[]
assassination,noun,c1,"the murder of an important or famous person, especially for political reasons",[]
assault,noun,c1,the crime of attacking somebody physically,[]
assault,verb,c1,"to attack somebody violently, especially when this is a crime",[]
assemble,verb,c1,to come together as a group; to bring people or things together as a group,"[""construct"",""erect"",""put something up""]"
assembly,noun,c1,a group of people who have been elected to meet together regularly and make decisions or laws for a particular region or country,[]
assert,verb,c1,to state clearly and definitely that something is true,[]
assertion,noun,c1,a statement saying that you strongly believe something to be true,"[""allegation""]"
assess,verb,b2,to make a judgement about the nature or quality of somebody/something,[]
assessment,noun,b2,an opinion or a judgement about somebody/something that has been thought about very carefully,[]
asset,noun,b2,a person or thing that is valuable or useful to somebody/something,[]
assign,verb,b2,"to give somebody something that they can use, or some work or responsibility",[]
assignment,noun,b1,"a task or piece of work that somebody is given to do, usually as part of their job or studies",[]
assist,verb,b1,to help somebody to do something,[]
assistance,noun,b2,help or support,[]
assistant,adjective,a2,having a rank below that of a senior person and helping them in their work,[]
assistant,noun,a2,"a person who helps or supports somebody, usually in their job",[]
associate,verb,b2,to make a connection between people or things in your mind,[]
associated,adjective,b2,"if one thing is associated with another, the two things are connected because they happen together or one thing causes the other",[]
association,noun,b2,an official group of people who have joined together for a particular purpose,[]
assume,verb,b2,to think or accept that something is true but without having proof of it,[]
assumption,noun,b2,"a belief or feeling that something is true or that something will happen, although there is no proof",[]
assurance,noun,c1,"a statement that something will certainly be true or will certainly happen, particularly when there has been doubt about it",[]
assure,verb,b2,"to tell somebody that something is definitely true or is definitely going to happen, especially when they have doubts about it",[]
astonishing,adjective,b2,very surprising; difficult to believe,[]
asylum,noun,c1,"protection that a government gives to people who have left their own country, usually because they were in danger for political reasons",[]
athlete,noun,a2,a person who competes in sports,[]
atmosphere,noun,b1,the mixture of gases that surrounds the earth,[]
atrocity,noun,c1,"a cruel and violent act, especially in a war",[]
attach,verb,b1,to fasten or join one thing to another,[]
attachment,noun,b2,a document that you send to somebody using email,[]
attack,noun,a2,an act of using violence to try to hurt or kill somebody,[]
attack,verb,a2,to use violence to try to hurt or kill somebody,[]
attain,verb,c1,"to succeed in getting something, usually after a lot of effort",[]
attempt,noun,b2,"an act of trying to do something, especially something difficult, often with no success",[]
attempt,verb,b2,"to make an effort or try to do something, especially something difficult",[]
attend,verb,a2,to be present at an event,[]
attendance,noun,c1,"the act of being present at a place, for example at school",[]
attention,noun,a2,"the act of listening to, looking at or thinking about something/somebody carefully; interest that people show in somebody/something",[]
attitude,noun,b1,the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel,[]
attorney,noun,c1,"a lawyer, especially one who can act for somebody in court",[]
attract,verb,b1,"if you are attracted by something, it interests you and makes you want it; if you are attracted by somebody, you like or admire them",[]
attraction,noun,b1,an interesting or lively place to go or thing to do,[]
attractive,adjective,a2,"pleasant to look at, especially in a sexual way","[""pretty"",""handsome"",""lovely"",""good-looking"",""gorgeous""]"
attribute,noun,c1,a quality or feature of somebody/something,[]
attribute,verb,c1,to say or believe that something is the result of a particular thing,[]
auction,noun,b2,a public sale in which things are sold to the person who offers the most money for them,[]
audience,noun,a2,"the group of people who have gathered to watch or listen to something (a play, concert, somebody speaking, etc.)","[""interrogation"",""consultation""]"
audio,adjective,b2,connected with sound that is recorded,[]
audit,noun,c1,an official examination of business and financial records to see that they are true and correct,[]
August,noun,a1,"the 8th month of the year, between July and September",[]
aunt,noun,a1,the sister of your father or mother; the wife of your uncle or aunt,[]
authentic,adjective,c1,known to be real and what somebody claims it is and not a copy,[]
author,noun,a2,a person who writes books or the person who wrote a particular book,[]
authority,noun,b1,the power to give orders to people,[]
authorize,verb,c1,"to give official permission for something, or for somebody to do something",[]
auto,noun,c1,a car,[]
automatic,adjective,b2,having controls that work without needing a person to operate them,[]
automatically,adverb,b2,without needing a person to operate controls,[]
autonomy,noun,c1,"the freedom for a country, a region or an organization to govern itself independently",[]
autumn,noun,a1,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder",[]
availability,noun,c1,"the fact that something is possible to get, buy or find",[]
available,adjective,a2,"that you can get, buy or find",[]
average,adjective,a2,"calculated by adding several amounts together, finding a total, and dividing the total by the number of amounts",[]
average,noun,a2,"the result of adding several amounts together, finding a total, and dividing the total by the number of amounts",[]
average,verb,b1,to be equal to a particular amount as an average,[]
avoid,verb,a2,to prevent something bad from happening,[]
await,verb,c1,to wait for somebody/something,[]
award,noun,a2,"a prize such as money, etc. for something that somebody has done",[]
award,verb,b1,"to make an official decision to give something to somebody as a payment, prize, contract, etc.",[]
aware,adjective,b1,knowing or realizing something,[]
awareness,noun,b2,knowing something; knowing that something exists and is important,[]
away,adverb,a1,to or at a distance from somebody/something in space or time,[]
awful,adjective,a2,very bad or unpleasant,"[""horrible"",""dreadful"",""vile"",""horrendous""]"
awkward,adjective,b2,making you feel embarrassed,[]
baby,noun,a1,a very young child or animal,[]
back,adjective,a2,located behind or at the back of something,[]
back,adverb,a1,"to or into the place, condition, situation or activity where somebody/something was before",[]
